frame,time_sec,anchor_x,anchor_y,tip_x,tip_y,quality,length_env_px,length_axis_px,length_axis_skeleton_px,length_axis_body_bins_px,length_axis_alt_px,length_axis_disagreement_px,centerline_disagreement,diameter_max_px,diameter_max_orth_px,diameter_max_thickness_px,diameter_max_feret_px,diameter_p95_px,diameter_mid_median_px,diameter_mid_p90_px,diameter_peak_span_px,diameter_peak_pos_norm,area_proj_px2,area_proj_contour_width_integral_px2,area_proj_contour_px2,area_proj_definition_gap_px2,body_mask_area_px2,component_area_px2,excluded_attachment_area_px2,body_mask_attachment_leak_fraction,attachment_count,attachment_border_touch_count,attachment_max_elongation,attachment_max_solidity,attachment_max_orientation_mismatch_deg,attachment_max_distance_to_main_axis_px,x_peak_norm,taper_left_px,taper_right_px,landing_zone_left_px,landing_zone_right_px,transition_zone_left_px,transition_zone_right_px,compaction_zone_length_px,zone_symmetry,branch_component_count_after_pruning,branch_count_after_pruning,endpoint_jump_px,axis_peak_position_stability,centerline_points,length_axis_formal_px,area_proj_formal_px2,anchor_jump_px,tip_jump_px,endpoint_jump_fraction,length_axis_ref_px,length_env_ref_px,foreshortening_axis,foreshortening_env,temperature_c,length_env_true_px,length_axis_true_px,length_axis_alt_true_px,length_axis_definition_gap_true_px,diameter_true_px,diameter_max_orth_true_px,diameter_max_thickness_true_px,diameter_max_feret_true_px,diameter_p95_true_px,diameter_peak_span_true_px,diameter_peak_pos_norm_true,area_proj_true_px2,area_proj_contour_true_px2,area_proj_definition_gap_true_px2,body_mask_area_true_px2,body_mask_attachment_leak_fraction_true,x_peak_norm_true,taper_left_true_px,taper_right_true_px,landing_zone_left_true_px,landing_zone_right_true_px,transition_zone_left_true_px,transition_zone_right_true_px,compaction_zone_length_true_px,zone_symmetry_true,length_axis_ref_true_px,length_env_ref_true_px,foreshortening_axis_true,foreshortening_env_true,length_env_recovery,length_axis_recovery,diameter_max_recovery,area_proj_recovery
0,0.0,414.6597583422035,269.22364011193025,861.4764554373545,257.6958473430952,0.9293167209725602,459.9791974425998,447.6555194297024,435.8742370671609,447.6555194297024,435.8742370671609,11.781282362541504,0.026317741770615157,123.0,123.0,124.0,122.5683317375011,121.35035966001905,112.59050805838368,120.79547408032442,104.0,0.5478260869565217,40609.79581665517,41017.54145300121,40702.5,-92.70418334483111,41189.0,42451.0,1262.0,0.010412004428635368,2,0,1.793103448275862,0.9173272933182333,10.937694597593916,11.007666662779547,0.5478260869565217,8.0,4.0,8.0,4.0,112.0,92.0,244.0,0.9478260869565217,0,0,8.432865651262915,,151,447.6555194297024,40609.79581665517,,,0.01883784581056008,447.6698450123475,459.9827341081959,3.200032971772959e-05,7.688692061469382e-06,20.0,524.239332295811,516.5616119081557,515.6483860215299,0.9132258866258098,119.9997738203686,119.9997738203686,119.9997738203686,123.64296306280374,119.62814789006411,104.45386702749444,0.5610758953637658,40320.87207088445,43064.0,-2743.1279291155515,43591.0,0.0,0.5610758953637658,37.116929686852295,39.29998022268012,37.116929686852295,39.29998022268012,111.23660993283688,87.26168507180097,241.6464069939854,0.9578136008893308,516.5616119081557,524.2394188766713,0.0,1.6515518896920156e-07,0.003644526891732401,0.0037997823115375863,0.000993451861281397,0.0003466017098538967
1,0.05,414.65975929345444,269.2236401838491,861.476405358729,257.6958541461,0.9293152728678249,459.9791957151864,447.6554904187564,435.87599002180986,447.6554904187564,435.87599002180986,11.77950039694656,0.02631376281329087,123.0,123.0,124.0,122.56833717286773,121.35036029171683,112.59050861769867,120.79547466365659,104.0,0.5478260869565217,40612.794849822276,41017.54166260633,40702.5,-89.70515017772414,41189.0,42452.0,1263.0,0.010411759163290304,2,0,1.8275862068965518,0.9160997732426304,11.014516286824177,10.998322176354868,0.5478260869565217,8.0,4.0,8.0,4.0,112.0,92.0,244.0,0.9478260869565217,0,0,8.43284048860784,0.0,151,447.6554904187564,40612.794849822276,9.53965788903268e-07,5.053859517763221e-05,0.01883779082150739,447.6698450123475,459.9827341081959,3.206513405129563e-05,7.692447448914841e-06,20.09394572025052,524.239332295811,516.5616046772552,515.6483788294686,0.9132258477866344,119.9997804137609,119.9997804137609,119.9997804137609,123.64296306280374,119.62815446303742,104.4538655700762,0.5610758953667772,40320.873722540215,43064.0,-2743.1262774597853,43591.0,0.0,0.5610758953667772,37.116929165460235,39.29997967063065,37.116929165460235,39.29997967063065,111.23660837351234,87.26168384806635,241.64640361958564,0.9578136008891116,516.5616119081557,524.2394188766713,1.3998137426973756e-08,1.6515518896920156e-07,0.003644544259872531,0.0038000742362638827,0.000993451861281397,0.0005198814585788037
2,0.1,414.65971962642186,269.2236371843689,861.4764121856455,257.69585950157153,0.9292921583988865,459.97926772174895,447.654346353577,435.86667762577326,447.654346353577,435.86667762577326,11.787668727803748,0.026332077022867394,123.0,123.0,124.0,122.56811051163835,121.3503339430259,112.59048528786451,120.79545033183894,104.0,0.5652173913043478,40600.757193626065,41017.43172696293,40699.5,-98.74280637393531,41186.0,42447.0,1261.0,0.010412985605578722,2,0,1.8275862068965518,0.9138321995464853,11.173308281484104,11.012402714672836,0.5652173913043478,8.0,4.0,8.0,4.0,112.0,92.0,244.0,0.9478260869565217,0,0,8.43720042557598,0.017391304347826098,151,447.654346353577,40600.757193626065,3.978027595898096e-05,8.676857933036138e-06,0.018847578481706307,447.6698450123475,459.9827341081959,3.462073432713986e-05,7.535905567568335e-06,20.187891440501044,524.239332295811,516.5615970985971,515.6483712915169,0.9132258070801528,119.99978732425204,119.99978732425204,119.99978732425204,123.64296306280374,119.62816135212752,104.4538640425664,0.5610758953699327,40320.87545362975,43064.0,-2743.1245463702508,43591.0,0.0,0.5610758953699327,37.116928618992766,39.299979092031606,37.116928618992766,39.299979092031606,111.23660673919446,87.2616825654784,241.64640008289985,0.9578136008888832,516.5616119081557,524.2394188766713,2.86694912254859e-08,1.6515518896920156e-07,0.0036438202756397505,0.0038115864742514264,0.000993451861281397,0.0
3,0.15,414.6596726594661,269.2236336316428,861.4739211149702,257.69621288945734,0.9292859208905122,459.9793529099102,447.6564222904321,435.8666264141713,447.6564222904321,435.8666264141713,11.789795876260769,0.026336706655381667,122.5,122.5,124.0,122.56784211885194,121.3503027268869,112.59045764748011,120.79542150382683,104.0,0.5478260869565217,40596.32303825907,41017.4214202319,40698.5,-102.17696174092998,41185.0,42447.0,1262.0,0.010412985605578722,2,0,1.8275862068965518,0.9138321995464853,11.172572739529778,11.005377746439166,0.5478260869565217,8.0,4.0,8.0,4.0,112.0,88.0,248.0,0.9391304347826087,0,0,8.435961695249418,0.017391304347826098,151,447.6564222904321,40596.32303825907,4.710113371945761e-05,0.0025160119449777626,0.018844723933785775,447.6698450123475,459.9827341081959,2.9983529301613743e-05,7.3507069614509035e-06,20.281837160751564,524.239332295811,516.5615891554545,515.6483633910391,0.9132257644154153,119.99979456709228,119.99979456709228,119.99979456709228,123.64296306280374,119.62816857253748,104.45386244159292,0.5610758953732408,40320.87726797317,43064.0,-2743.12273202683,43591.0,0.0,0.5610758953732408,37.11692804624388,39.29997848560515,37.11692804624388,39.29997848560515,111.23660502627656,87.26168122120646,241.64639637612245,0.957813600888643,516.5616119081557,524.2394188766713,4.4046442160272654e-08,1.6515518896920156e-07,0.003642963758075929,0.00379069721063863,0.0,0.0
4,0.2,414.6596726594661,269.2236336316428,861.4739211149702,257.69621288945734,0.9292859208905122,459.9793529099102,447.6564222904321,435.8666264141713,447.6564222904321,435.8666264141713,11.789795876260769,0.026336706655381667,122.5,122.5,124.0,122.56784211885194,121.3503027268869,112.59045764748011,120.79542150382683,104.0,0.5478260869565217,40596.32303825907,41017.4214202319,40698.5,-102.17696174092998,41185.0,42447.0,1262.0,0.010412985605578722,2,0,1.8275862068965518,0.9138321995464853,11.172572739529778,11.005377746439166,0.5478260869565217,8.0,4.0,8.0,4.0,112.0,88.0,248.0,0.9391304347826087,0,0,8.435961695249418,0.0,151,447.6564222904321,40596.32303825907,0.0,0.0,0.018844723933785775,447.6698450123475,459.9827341081959,2.9983529301613743e-05,7.3507069614509035e-06,20.37578288100209,524.239332295811,516.5615808303,515.6483551106006,0.913225719699426,119.99980215826538,119.99980215826538,119.99980215826538,123.64296306280374,119.6281761402016,104.45386076362324,0.5610758953767071,40320.87916957454,43064.0,-2743.1208304254615,43591.0,0.0,0.5610758953767071,37.116927445949486,39.2999778500141,37.116927445949486,39.2999778500141,111.2366032309787,87.26167981228372,241.64639249107404,0.9578136008883916,516.5616119081557,524.2394188766713,6.01629213115018e-08,1.6515518896920156e-07,0.003642963758075929,0.00379069721063863,0.0,0.0
5,0.25,414.65972017668304,269.2236372259843,861.4758697242999,257.6959347430008,0.9292854586810462,459.9792667232429,447.6552857889849,435.8666264141713,447.6552857889849,435.8666264141713,11.788659374813562,0.026334234731611065,123.0,123.0,124.0,122.56811365598415,121.35033430863282,112.59048561158679,120.79545066946731,104.0,0.5478260869565217,40600.78776566603,41017.431847675594,40699.5,-98.71223433397245,41186.0,42448.0,1262.0,0.010412740294006784,2,0,1.8275862068965518,0.9138321995464853,11.17331689902688,11.001290133422486,0.5478260869565217,8.0,4.0,8.0,4.0,112.0,92.0,244.0,0.9478260869565217,0,0,8.436929197415246,0.0,151,447.6552857889849,40600.78776566603,4.765296630739373e-05,0.0019683606811469892,0.018846933042564885,447.6698450123475,459.9827341081959,3.252223379535124e-05,7.538076314372866e-06,20.46972860125261,524.239332295811,516.5615721047598,515.6483464319275,0.9132256728322544,119.99981011452384,119.99981011452384,119.99981011452384,123.64296306280374,119.6281840718204,104.45385900495428,0.5610758953803406,40320.881162630205,43064.0,-2743.118837369795,43591.0,0.0,0.5610758953803406,37.11692681678494,39.29997718385522,37.11692681678494,39.29997718385522,111.23660134933888,87.26167833560106,241.6463884191797,0.9578136008881278,516.5616119081557,524.2394188766713,7.705449844852552e-08,1.6515518896920156e-07,0.0036438303150389756,0.003802133338028024,0.000993451861281397,0.0
6,0.3,414.65972017668304,269.2236372259843,861.4758697242999,257.6959347430008,0.9292854586810462,459.9792667232429,447.6552857889849,435.8666264141713,447.6552857889849,435.8666264141713,11.788659374813562,0.026334234731611065,123.0,123.0,124.0,122.56811365598415,121.35033430863282,112.59048561158679,120.79545066946731,104.0,0.5478260869565217,40600.78776566603,41017.431847675594,40699.5,-98.71223433397245,41186.0,42448.0,1262.0,0.010412740294006784,2,0,1.8275862068965518,0.9138321995464853,11.17331689902688,11.001290133422486,0.5478260869565217,8.0,4.0,8.0,4.0,112.0,92.0,244.0,0.9478260869565217,0,0,8.436929197415246,0.0,151,447.6552857889849,40600.78776566603,0.0,0.0,0.018846933042564885,447.6698450123475,459.9827341081959,3.252223379535124e-05,7.538076314372866e-06,20.563674321503132,524.239332295811,516.5615629595787,515.6483373358678,0.9132256237109004,119.99981845342572,119.99981845342572,119.99981845342572,123.64296306280374,119.62819238489764,104.45385716170486,0.561075895384149,40320.8832515386,43064.0,-2743.116748461398,43591.0,0.0,0.561075895384149,37.11692615736167,39.29997648565825,37.11692615736167,39.29997648565825,111.23659937720456,87.2616767879,241.64638415145427,0.9578136008878516,516.5616119081557,524.2394188766713,9.475844853223948e-08,1.6515518896920156e-07,0.0036438303150389756,0.003802133338028024,0.000993451861281397,0.0
7,0.35,414.65972017668304,269.2236372259843,861.4758697242999,257.6959347430008,0.9292854586810462,459.9792667232429,447.6552857889849,435.8666264141713,447.6552857889849,435.8666264141713,11.788659374813562,0.026334234731611065,123.0,123.0,124.0,122.56811365598415,121.35033430863282,112.59048561158679,120.79545066946731,104.0,0.5478260869565217,40600.78776566603,41017.431847675594,40699.5,-98.71223433397245,41186.0,42448.0,1262.0,0.010412740294006784,2,0,1.8275862068965518,0.9138321995464853,11.17331689902688,11.001290133422486,0.5478260869565217,8.0,4.0,8.0,4.0,112.0,92.0,244.0,0.9478260869565217,0,0,8.436929197415246,0.0,151,447.6552857889849,40600.78776566603,0.0,0.0,0.018846933042564885,447.6698450123475,459.9827341081959,3.252223379535124e-05,7.538076314372866e-06,20.657620041753653,524.239332295811,516.5615533745753,515.6483278023475,0.913225572227816,119.99982719337363,119.99982719337363,119.99982719337363,123.64296306280374,119.62820109777893,104.4538552298074,0.5610758953881402,40320.88544090961,43064.0,-2743.1145590903907,43591.0,0.0,0.5610758953881402,37.11692546622455,39.29997575388262,37.11692546622455,39.29997575388262,111.23659731022364,87.26167516576481,241.6463796784797,0.957813600887562,516.5616119081557,524.2394188766713,1.1331384108803633e-07,1.6515518896920156e-07,0.0036438303150389756,0.003802133338028024,0.000993451861281397,0.0
8,0.4,414.65972017668304,269.2236372259843,861.4758697242999,257.6959347430008,0.9292909688488549,459.9792667232429,447.6552857889849,435.8666264141713,447.6552857889849,435.8666264141713,11.788659374813562,0.026334234731611065,123.0,123.0,124.0,122.56811365598415,121.35033430863282,112.59048561158679,120.79545066946731,104.0,0.5478260869565217,40600.78776566603,41017.431847675594,40699.5,-98.71223433397245,41186.0,42447.0,1261.0,0.010412985605578722,2,0,1.8275862068965518,0.9138321995464853,11.17331689902688,11.012018997235481,0.5478260869565217,8.0,4.0,8.0,4.0,112.0,92.0,244.0,0.9478260869565217,0,0,8.436929197415246,0.0,151,447.6552857889849,40600.78776566603,0.0,0.0,0.018846933042564885,447.6698450123475,459.9827341081959,3.252223379535124e-05,7.538076314372866e-06,20.751565762004176,524.239332295811,516.5615433285969,515.6483178103282,0.913225518268746,119.99983635365516,119.99983635365516,119.99983635365516,123.64296306280374,119.62821022969209,104.45385320499884,0.5610758953923233,40320.88773557477,43064.0,-2743.112264425232,43591.0,0.0,0.5610758953923233,37.11692474184823,39.299974986913696,37.11692474184823,39.299974986913696,111.23659514383462,87.26167346561539,241.646374990385,0.9578136008872588,516.5616119081557,524.2394188766713,1.3276162447173334e-07,1.6515518896920156e-07,0.0036438303150389756,0.003802133338028024,0.000993451861281397,0.0
9,0.45,414.65972017668304,269.2236372259843,861.4758697242999,257.6959347430008,0.9292909688488549,459.9792667232429,447.6552857889849,435.8666264141713,447.6552857889849,435.8666264141713,11.788659374813562,0.026334234731611065,123.0,123.0,124.0,122.56811365598415,121.35033430863282,112.59048561158679,120.79545066946731,104.0,0.5478260869565217,40600.78776566603,41017.431847675594,40699.5,-98.71223433397245,41186.0,42447.0,1261.0,0.010412985605578722,2,0,1.8275862068965518,0.9138321995464853,11.17331689902688,11.012018997235481,0.5478260869565217,8.0,4.0,8.0,4.0,112.0,92.0,244.0,0.9478260869565217,0,0,8.436929197415246,0.0,151,447.6552857889849,40600.78776566603,0.0,0.0,0.018846933042564885,447.6698450123475,459.9827341081959,3.252223379535124e-05,7.538076314372866e-06,20.845511482254697,524.239332295811,516.561532799473,515.6483073377591,0.9132254617138642,119.99984595448548,119.99984595448548,119.99984595448548,123.64296306280374,119.62821980078968,104.45385108280976,0.5610758953967074,40320.89014059788,43064.0,-2743.109859402117,43591.0,0.0,0.5610758953967074,37.11692398263427,39.299974183058566,37.11692398263427,39.299974183058566,111.23659287325655,87.26167168370034,241.6463700768232,0.9578136008869412,516.5616119081557,524.2394188766713,1.531447186842172e-07,1.6515518896920156e-07,0.0036438303150389756,0.003802133338028024,0.000993451861281397,0.0
