frame,time_sec,temperature_c,length_env_true_px,length_axis_true_px,length_axis_alt_true_px,length_axis_definition_gap_true_px,diameter_true_px,diameter_max_orth_true_px,diameter_max_thickness_true_px,diameter_max_feret_true_px,diameter_p95_true_px,diameter_peak_span_true_px,diameter_peak_pos_norm_true,area_proj_true_px2,area_proj_contour_true_px2,area_proj_definition_gap_true_px2,body_mask_area_true_px2,body_mask_attachment_leak_fraction_true,x_peak_norm_true,taper_left_true_px,taper_right_true_px,landing_zone_left_true_px,landing_zone_right_true_px,transition_zone_left_true_px,transition_zone_right_true_px,compaction_zone_length_true_px,zone_symmetry_true,length_axis_ref_true_px,length_env_ref_true_px,foreshortening_axis_true,foreshortening_env_true
0,0.0,20.0,524.239332295811,516.5616119081557,515.6483860215299,0.9132258866258098,119.99977382036859,119.99977382036859,119.99977382036859,123.64296306280374,119.62814789006411,104.45386702749443,0.5610758953637658,40320.87207088445,43064.0,-2743.1279291155515,43591.0,0.0,0.5610758953637658,37.116929686852295,39.29998022268012,37.116929686852295,39.29998022268012,111.23660993283687,87.26168507180097,241.6464069939854,0.9578136008893308,516.5616119081557,524.2394188766713,0.0,1.6515518896920156e-07
1,0.05,20.09394572025052,524.239332295811,516.5616046772552,515.6483788294686,0.9132258477866344,119.9997804137609,119.9997804137609,119.9997804137609,123.64296306280374,119.62815446303742,104.4538655700762,0.5610758953667772,40320.873722540215,43064.0,-2743.1262774597853,43591.0,0.0,0.5610758953667772,37.116929165460235,39.29997967063065,37.116929165460235,39.29997967063065,111.23660837351234,87.26168384806635,241.64640361958564,0.9578136008891117,516.5616119081557,524.2394188766713,1.3998137426973756e-08,1.6515518896920156e-07
2,0.1,20.187891440501044,524.239332295811,516.5615970985971,515.6483712915169,0.9132258070801527,119.99978732425203,119.99978732425203,119.99978732425203,123.64296306280374,119.62816135212752,104.45386404256641,0.5610758953699327,40320.87545362975,43064.0,-2743.1245463702508,43591.0,0.0,0.5610758953699327,37.116928618992766,39.299979092031606,37.116928618992766,39.299979092031606,111.23660673919446,87.2616825654784,241.64640008289985,0.9578136008888833,516.5616119081557,524.2394188766713,2.86694912254859e-08,1.6515518896920156e-07
3,0.15,20.281837160751564,524.239332295811,516.5615891554545,515.6483633910391,0.9132257644154151,119.99979456709227,119.99979456709227,119.99979456709227,123.64296306280374,119.62816857253749,104.45386244159292,0.5610758953732408,40320.87726797317,43064.0,-2743.12273202683,43591.0,0.0,0.5610758953732408,37.11692804624388,39.29997848560515,37.11692804624388,39.29997848560515,111.23660502627655,87.26168122120646,241.64639637612245,0.957813600888643,516.5616119081557,524.2394188766713,4.404644216027265e-08,1.6515518896920156e-07
4,0.2,20.37578288100209,524.239332295811,516.5615808303,515.6483551106006,0.913225719699426,119.99980215826538,119.99980215826538,119.99980215826538,123.64296306280374,119.62817614020159,104.45386076362323,0.5610758953767071,40320.87916957454,43064.0,-2743.1208304254615,43591.0,0.0,0.5610758953767071,37.116927445949486,39.2999778500141,37.116927445949486,39.2999778500141,111.2366032309787,87.26167981228372,241.64639249107404,0.9578136008883916,516.5616119081557,524.2394188766713,6.01629213115018e-08,1.6515518896920156e-07
5,0.25,20.46972860125261,524.239332295811,516.5615721047598,515.6483464319275,0.9132256728322545,119.99981011452383,119.99981011452383,119.99981011452383,123.64296306280374,119.6281840718204,104.45385900495427,0.5610758953803406,40320.881162630205,43064.0,-2743.118837369795,43591.0,0.0,0.5610758953803406,37.11692681678494,39.29997718385522,37.11692681678494,39.29997718385522,111.23660134933888,87.26167833560106,241.64638841917966,0.9578136008881278,516.5616119081557,524.2394188766713,7.705449844852552e-08,1.6515518896920156e-07
6,0.3,20.563674321503132,524.239332295811,516.5615629595787,515.6483373358678,0.9132256237109004,119.99981845342572,119.99981845342572,119.99981845342572,123.64296306280374,119.62819238489764,104.45385716170486,0.561075895384149,40320.8832515386,43064.0,-2743.116748461398,43591.0,0.0,0.561075895384149,37.11692615736167,39.29997648565825,37.11692615736167,39.29997648565825,111.23659937720456,87.2616767879,241.64638415145427,0.9578136008878516,516.5616119081557,524.2394188766713,9.475844853223947e-08,1.6515518896920156e-07
7,0.35,20.657620041753653,524.239332295811,516.5615533745753,515.6483278023475,0.913225572227816,119.99982719337365,119.99982719337365,119.99982719337365,123.64296306280374,119.62820109777891,104.4538552298074,0.5610758953881402,40320.88544090961,43064.0,-2743.1145590903907,43591.0,0.0,0.5610758953881402,37.11692546622455,39.29997575388262,37.11692546622455,39.29997575388262,111.23659731022363,87.26167516576481,241.64637967847966,0.9578136008875621,516.5616119081557,524.2394188766713,1.1331384108803633e-07,1.6515518896920156e-07
8,0.4,20.751565762004176,524.239332295811,516.5615433285969,515.6483178103282,0.9132255182687459,119.99983635365517,119.99983635365517,119.99983635365517,123.64296306280374,119.62821022969207,104.45385320499884,0.5610758953923233,40320.88773557477,43064.0,-2743.112264425232,43591.0,0.0,0.5610758953923233,37.11692474184823,39.299974986913696,37.11692474184823,39.299974986913696,111.23659514383462,87.26167346561539,241.646374990385,0.9578136008872588,516.5616119081557,524.2394188766713,1.3276162447173334e-07,1.6515518896920156e-07
9,0.45,20.845511482254697,524.239332295811,516.561532799473,515.6483073377591,0.9132254617138642,119.99984595448548,119.99984595448548,119.99984595448548,123.64296306280374,119.62821980078968,104.45385108280976,0.5610758953967074,40320.89014059788,43064.0,-2743.109859402117,43591.0,0.0,0.5610758953967074,37.116923982634276,39.299974183058566,37.116923982634276,39.299974183058566,111.23659287325655,87.26167168370034,241.64637007682322,0.9578136008869413,516.5616119081557,524.2394188766713,1.531447186842172e-07,1.6515518896920156e-07
