frame,time_sec,anchor_x,anchor_y,tip_x,tip_y,quality,length_env_px,length_axis_px,length_axis_skeleton_px,length_axis_alt_px,length_axis_disagreement_px,centerline_disagreement,diameter_max_px,diameter_max_orth_px,diameter_max_thickness_px,diameter_max_feret_px,diameter_p95_px,diameter_peak_span_px,diameter_peak_pos_norm,area_proj_px2,area_proj_contour_px2,area_proj_definition_gap_px2,body_mask_area_px2,component_area_px2,excluded_attachment_area_px2,body_mask_attachment_leak_fraction,attachment_count,attachment_border_touch_count,attachment_max_elongation,attachment_max_solidity,attachment_max_orientation_mismatch_deg,attachment_max_distance_to_main_axis_px,x_peak_norm,taper_left_px,taper_right_px,landing_zone_left_px,landing_zone_right_px,transition_zone_left_px,transition_zone_right_px,compaction_zone_length_px,zone_symmetry,branch_count_after_pruning,endpoint_jump_px,axis_peak_position_stability,centerline_points,length_axis_formal_px,anchor_jump_px,tip_jump_px,length_axis_ref_px,length_env_ref_px,foreshortening_axis,foreshortening_env,temperature_c,austenite_fraction,length_env_recovery,length_axis_recovery,diameter_max_recovery,area_proj_recovery,length_env_smooth,length_axis_smooth,diameter_max_smooth,area_proj_smooth_px2,compaction_zone_smooth,body_mask_area_smooth_px2,axis_definition_gap_smooth_px
0,0.0,125.96277703087833,201.28875479659166,453.161066129379,185.55228425722163,0.9897464474784063,341.955150246651,382.1665303208965,344.28044172977826,344.28044172977826,37.886088591118266,0.09913502514023449,86.2258187878865,86.23790988092813,36.3565673828125,86.86664671909283,86.2258187878865,168.0,0.3764705882352941,10491.0,24247.0,-13756.0,10491.0,10767.0,489.0,0.04541655057118975,1,0,1.8421052631578947,0.9337539432176656,4.5857339319169625,3.851626731169953,0.3764705882352941,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,268,166.2533506500762,0.0,129,393.93767281306174,,,420.4172446456188,341.9944612110107,0.09098274348133562,0.0001149462018199543,25.0,0.0,0.10708149366316866,0.005636998542674766,0.19396734669727766,1.0,341.9840205071252,393.93767281306174,80.24005751889504,9370.0,248.0,9370.0,66.76383551823687
1,0.05,126.05045286973954,200.39069036723586,453.68342921026647,186.0383628176048,0.9878712615129877,341.9840205071252,393.93767281306174,327.17383729482486,327.17383729482486,66.76383551823687,0.1694781690755401,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,215,124.24410640798479,0.2588235294117647,133,393.93767281306174,0.902334068953497,0.7135373537092755,420.4172446456188,341.9944612110107,0.06298402877093545,3.052886835797075e-05,25.1128,0.0,0.1069272233581898,0.005636998542674766,0.01133203654047495,0.8066193033770597,341.9840205071252,393.93767281306174,80.24005751889504,9370.0,248.0,9370.0,66.76383551823687
2,0.1,126.05045286973954,200.39069036723586,453.68342921026647,186.0383628176048,0.9878712615129877,341.9840205071252,393.93767281306174,327.17383729482486,327.17383729482486,66.76383551823687,0.1694781690755401,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,215,124.24410640798479,0.0,133,393.93767281306174,0.0,0.0,420.4172446456188,341.9944612110107,0.06298402877093545,3.052886835797075e-05,25.2256,0.0,0.1069272233581898,0.005636998542674766,0.01133203654047495,0.8066193033770597,341.9840205071252,393.93767281306174,80.24005751889504,9370.0,248.0,9370.0,66.76383551823687
3,0.15,126.05045286973954,200.39069036723586,453.68342921026647,186.0383628176048,0.9878712615129877,341.9840205071252,393.93767281306174,327.17383729482486,327.17383729482486,66.76383551823687,0.1694781690755401,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,215,124.24410640798479,0.0,133,393.93767281306174,0.0,0.0,420.4172446456188,341.9944612110107,0.06298402877093545,3.052886835797075e-05,25.3383,0.0,0.1069272233581898,0.005636998542674766,0.01133203654047495,0.8066193033770597,341.9840205071252,393.93767281306174,80.24005751889504,9370.0,248.0,9370.0,66.76383551823687
4,0.2,126.05045286973954,200.39069036723586,453.68342921026647,186.0383628176048,0.9878712615129877,341.9840205071252,393.93767281306174,327.17383729482486,327.17383729482486,66.76383551823687,0.1694781690755401,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,215,124.24410640798479,0.0,133,393.93767281306174,0.0,0.0,420.4172446456188,341.9944612110107,0.06298402877093545,3.052886835797075e-05,25.4511,0.0,0.1069272233581898,0.005636998542674766,0.01133203654047495,0.8066193033770597,341.9840205071252,393.93767281306174,80.24005751889504,9370.0,248.0,9370.0,66.76383551823687
5,0.25,126.05045286973954,200.39069036723586,453.68342921026647,186.0383628176048,0.9878712615129877,341.9840205071252,393.93767281306174,327.17383729482486,327.17383729482486,66.76383551823687,0.1694781690755401,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,215,124.24410640798479,0.0,133,393.93767281306174,0.0,0.0,420.4172446456188,341.9944612110107,0.06298402877093545,3.052886835797075e-05,25.5639,0.0,0.1069272233581898,0.005636998542674766,0.01133203654047495,0.8066193033770597,341.9840205071252,393.93767281306174,80.24005751889504,9370.0,248.0,9370.0,66.76383551823687
6,0.3,126.05045286973954,200.39069036723586,453.68342921026647,186.0383628176048,0.9878712615129877,341.9840205071252,393.93767281306174,327.17383729482486,327.17383729482486,66.76383551823687,0.1694781690755401,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,215,124.24410640798479,0.0,133,393.93767281306174,0.0,0.0,420.4172446456188,341.9944612110107,0.06298402877093545,3.052886835797075e-05,25.6767,0.0,0.1069272233581898,0.005636998542674766,0.01133203654047495,0.8066193033770597,341.9840205071252,393.93767281306174,80.24005751889504,9370.0,248.0,9370.0,66.76383551823687
7,0.35,126.05045286973954,200.39069036723586,453.68342921026647,186.0383628176048,0.9878712615129877,341.9840205071252,393.93767281306174,327.17383729482486,327.17383729482486,66.76383551823687,0.1694781690755401,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,215,124.24410640798479,0.0,133,393.93767281306174,0.0,0.0,420.4172446456188,341.9944612110107,0.06298402877093545,3.052886835797075e-05,25.7895,0.0,0.1069272233581898,0.005636998542674766,0.01133203654047495,0.8066193033770597,341.9840205071252,393.93767281306174,80.24005751889504,9370.0,248.0,9370.0,66.76383551823687
8,0.4,126.05045286973954,200.39069036723586,453.68342921026647,186.0383628176048,0.9878712615129877,341.9840205071252,393.93767281306174,327.17383729482486,327.17383729482486,66.76383551823687,0.1694781690755401,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,215,124.24410640798479,0.0,133,393.93767281306174,0.0,0.0,420.4172446456188,341.9944612110107,0.06298402877093545,3.052886835797075e-05,25.9023,0.0,0.1069272233581898,0.005636998542674766,0.01133203654047495,0.8066193033770597,341.9840205071252,393.93767281306174,80.24005751889504,9370.0,248.0,9370.0,66.76383551823687
9,0.45,126.05045286973954,200.39069036723586,453.68342921026647,186.0383628176048,0.9878712615129877,341.9840205071252,393.93767281306174,327.17383729482486,327.17383729482486,66.76383551823687,0.1694781690755401,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,215,124.24410640798479,0.0,133,393.93767281306174,0.0,0.0,420.4172446456188,341.9944612110107,0.06298402877093545,3.052886835797075e-05,26.015,0.0,0.1069272233581898,0.005636998542674766,0.01133203654047495,0.8066193033770597,341.9840205071252,393.93767281306174,80.24005751889504,9370.0,248.0,9370.0,66.76383551823687
