frame,time_sec,anchor_x,anchor_y,tip_x,tip_y,quality,length_env_px,length_axis_px,length_axis_skeleton_px,length_axis_alt_px,length_axis_disagreement_px,centerline_disagreement,diameter_max_px,diameter_max_orth_px,diameter_max_thickness_px,diameter_max_feret_px,diameter_p95_px,diameter_peak_span_px,diameter_peak_pos_norm,area_proj_px2,area_proj_contour_px2,area_proj_definition_gap_px2,body_mask_area_px2,component_area_px2,excluded_attachment_area_px2,body_mask_attachment_leak_fraction,attachment_count,attachment_border_touch_count,attachment_max_elongation,attachment_max_solidity,attachment_max_orientation_mismatch_deg,attachment_max_distance_to_main_axis_px,x_peak_norm,taper_left_px,taper_right_px,landing_zone_left_px,landing_zone_right_px,transition_zone_left_px,transition_zone_right_px,compaction_zone_length_px,zone_symmetry,branch_count_after_pruning,endpoint_jump_px,axis_peak_position_stability,centerline_points,length_axis_formal_px,anchor_jump_px,tip_jump_px,length_axis_ref_px,length_env_ref_px,foreshortening_axis,foreshortening_env,temperature_c,austenite_fraction,length_env_recovery,length_axis_recovery,diameter_max_recovery,area_proj_recovery,length_env_smooth,length_axis_smooth,diameter_max_smooth,area_proj_smooth_px2,compaction_zone_smooth,body_mask_area_smooth_px2,axis_definition_gap_smooth_px
0,0.0,125.96297135798231,201.28900149970892,464.8608319298164,184.65967686147644,0.9897464474784063,341.955150246651,394.4090752162859,348.77846319733356,348.77846319733356,45.63061201895232,0.11569361580721596,86.2258187878865,86.23790988092813,36.3565673828125,86.86664671909283,86.2258187878865,168.0,0.3764705882352941,10491.0,24247.0,-13756.0,10491.0,10767.0,489.0,0.04541655057118975,1,0,1.8421052631578947,0.9337539432176656,4.5857339319169625,3.851626731169953,0.3764705882352941,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,264,177.18098370282564,0.0,133,405.6918859589806,,,423.27415230407405,341.9944612110107,0.06819475493757987,0.0001149462018199543,25.0,0.0,0.10708149366316866,0.007537367426189602,0.19396734669727766,1.0,341.9840205071252,405.6918859589806,80.24005751889504,9370.0,248.0,9370.0,76.88144498422781
1,0.05,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.9878712615129877,341.9840205071252,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,211,135.08257036207058,0.2588235294117647,137,405.6918859589806,0.9143681798933191,0.5804348122401385,423.27415230407405,341.9944612110107,0.041538719643959277,3.052886835797075e-05,25.1128,0.0,0.1069272233581898,0.007537367426189602,0.01133203654047495,0.8066193033770597,341.9840205071252,405.6918859589806,80.24005751889504,9370.0,248.0,9370.0,76.88144498422781
2,0.1,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.9878712615129877,341.9840205071252,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,341.9944612110107,0.041538719643959277,3.052886835797075e-05,25.2256,0.0,0.1069272233581898,0.007537367426189602,0.01133203654047495,0.8066193033770597,341.9840205071252,405.6918859589806,80.24005751889504,9370.0,248.0,9370.0,76.88144498422781
3,0.15,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.9878712615129877,341.9840205071252,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,341.9944612110107,0.041538719643959277,3.052886835797075e-05,25.3383,0.0,0.1069272233581898,0.007537367426189602,0.01133203654047495,0.8066193033770597,341.9840205071252,405.6918859589806,80.24005751889504,9370.0,248.0,9370.0,76.88144498422781
4,0.2,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.9878712615129877,341.9840205071252,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,341.9944612110107,0.041538719643959277,3.052886835797075e-05,25.4511,0.0,0.1069272233581898,0.007537367426189602,0.01133203654047495,0.8066193033770597,341.9840205071252,405.6918859589806,80.24005751889504,9370.0,248.0,9370.0,76.88144498422781
5,0.25,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.9878712615129877,341.9840205071252,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,341.9944612110107,0.041538719643959277,3.052886835797075e-05,25.5639,0.0,0.1069272233581898,0.007537367426189602,0.01133203654047495,0.8066193033770597,341.9840205071252,405.6918859589806,80.24005751889504,9370.0,248.0,9370.0,76.88144498422781
6,0.3,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.9878712615129877,341.9840205071252,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,341.9944612110107,0.041538719643959277,3.052886835797075e-05,25.6767,0.0,0.1069272233581898,0.007537367426189602,0.01133203654047495,0.8066193033770597,341.9840205071252,405.6918859589806,80.24005751889504,9370.0,248.0,9370.0,76.88144498422781
7,0.35,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.9878712615129877,341.9840205071252,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,341.9944612110107,0.041538719643959277,3.052886835797075e-05,25.7895,0.0,0.1069272233581898,0.007537367426189602,0.01133203654047495,0.8066193033770597,341.9840205071252,405.6918859589806,80.24005751889504,9370.0,248.0,9370.0,76.88144498422781
8,0.4,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.9878712615129877,341.9840205071252,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,341.9944612110107,0.041538719643959277,3.052886835797075e-05,25.9023,0.0,0.1069272233581898,0.007537367426189602,0.01133203654047495,0.8066193033770597,341.9840205071252,405.6918859589806,80.24005751889504,9370.0,248.0,9370.0,76.88144498422781
9,0.45,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.9878712615129877,341.9840205071252,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,80.24005751889504,81.23896013832669,36.756591796875,82.00292639590069,80.24005751889504,152.0,0.6352941176470588,9370.0,22633.5,-13263.5,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,4.0,0.0,4.0,36.0,52.0,248.0,0.9411764705882353,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,341.9944612110107,0.041538719643959277,3.052886835797075e-05,26.015,0.0,0.1069272233581898,0.007537367426189602,0.01133203654047495,0.8066193033770597,341.9840205071252,405.6918859589806,80.24005751889504,9370.0,248.0,9370.0,76.88144498422781
