frame,time_s,temperature_C,austenite_fraction,length_env_true_px,length_axis_true_px,length_axis_alt_true_px,diameter_true_px,diameter_max_feret_true_px,area_proj_true_px2,area_proj_true_norm,area_proj_model_true_px2,area_proj_raster_true_px2,area_proj_contour_true_px2
0,0.0,25.0,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
1,0.05,25.1128,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
2,0.1,25.2256,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
3,0.15,25.3383,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
4,0.2,25.4511,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
5,0.25,25.5639,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
6,0.3,25.6767,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
7,0.35,25.7895,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
8,0.4,25.9023,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
9,0.45,26.015,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
10,0.5,26.1278,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
11,0.55,26.2406,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
12,0.6,26.3534,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
13,0.65,26.4662,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
14,0.7,26.5789,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
15,0.75,26.6917,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
16,0.8,26.8045,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
17,0.85,26.9173,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
18,0.9,27.0301,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
19,0.95,27.1429,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
20,1.0,27.2556,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
21,1.05,27.3684,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
22,1.1,27.4812,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
23,1.15,27.594,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
24,1.2,27.7068,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
25,1.25,27.8195,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
26,1.3,27.9323,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
27,1.35,28.0451,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
28,1.4,28.1579,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
29,1.45,28.2707,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
30,1.5,28.3835,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
31,1.55,28.4962,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
32,1.6,28.609,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
33,1.65,28.7218,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
34,1.7,28.8346,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
35,1.75,28.9474,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
36,1.8,29.0602,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
37,1.85,29.1729,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
38,1.9,29.2857,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
39,1.95,29.3985,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
40,2.0,29.5113,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
41,2.05,29.6241,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
42,2.1,29.7368,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
43,2.15,29.8496,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
44,2.2,29.9624,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
45,2.25,30.0752,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
46,2.3,30.188,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
47,2.35,30.3008,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
48,2.4,30.4135,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
49,2.45,30.5263,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
50,2.5,30.6391,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
51,2.55,30.7519,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
52,2.6,30.8647,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
