frame,time_sec_x,anchor_x,anchor_y,tip_x,tip_y,quality,length_env_px,length_axis_px,diameter_max_px,x_peak_norm,taper_left_px,taper_right_px,landing_zone_left_px,landing_zone_right_px,transition_zone_left_px,transition_zone_right_px,compaction_zone_length_px,zone_symmetry,length_axis_ref_px,length_env_ref_px,foreshortening_axis,foreshortening_env,time_sec_y,temperature_c,length_env_true_px,length_axis_true_px,diameter_true_px,x_peak_norm_true,taper_left_true_px,taper_right_true_px,landing_zone_left_true_px,landing_zone_right_true_px,transition_zone_left_true_px,transition_zone_right_true_px,compaction_zone_length_true_px,zone_symmetry_true,length_axis_ref_true_px,length_env_ref_true_px,foreshortening_axis_true,foreshortening_env_true,length_env_recovery,length_axis_recovery,diameter_max_recovery,length_env_smooth,length_axis_smooth,diameter_max_smooth,compaction_zone_smooth
0,0.0,378.2747669224571,277.84141168714854,894.1091259491793,264.7680017459477,1.0,516.0,516.0,122.11285321881263,0.5503875968992248,40.0,32.0,40.0,32.0,108.0,88.0,248.0,0.9457364341085271,516.0,516.0,0.0,0.0,0.0,20.0,519.9998262569229,519.9998262569229,119.9997738203686,0.5606773080069679,39.16414155508869,41.337870546352406,39.16414155508869,41.337870546352406,110.96460659439576,87.02737616068231,241.5058314004037,0.9581470986267278,519.9998262569229,519.9998262569229,0.0,0.0,0.0,0.0,0.0,516.0,516.0,122.1128504421171,248.0
1,0.05,378.2748920864463,277.8433298957491,894.1091588678099,264.7662807586889,1.0,516.0,516.0,122.1128737250944,0.5503875968992248,40.0,32.0,40.0,32.0,108.0,88.0,248.0,0.9457364341085271,516.0,516.0,0.0,0.0,0.05,20.09394572025052,519.9998190041633,519.9998190041633,119.9997804137609,0.5606773080079198,39.16414100896023,41.33786996966288,39.16414100896023,41.33786996966288,110.96460504698264,87.02737494662921,241.5058280319283,0.9581470986252852,519.9998262569229,519.9998262569229,1.3947619281751145e-08,1.3947619281751145e-08,0.0,0.0,0.0,516.0,516.0,122.11285201298557,248.0
2,0.1,378.27476802792444,277.842095467078,894.1091466048975,264.7694569381505,1.0,516.0,516.0,122.11284887124862,0.5503875968992248,40.0,32.0,40.0,32.0,108.0,88.0,248.0,0.9457364341085271,516.0,516.0,0.0,0.0,0.1,20.187891440501044,519.9998114025939,519.9998114025939,119.99978732425204,0.5606773080089172,39.16414043656664,41.337869365238504,39.16414043656664,41.337869365238504,110.96460342514912,87.02737367418828,241.50582450145137,0.958147098623774,519.9998262569229,519.9998262569229,2.8566026877285825e-08,2.8566026877285825e-08,0.0,0.0,0.0,516.0,516.0,122.11285201298557,248.0
3,0.15,378.27460083628097,277.8400171177909,894.1091174033434,264.7728246869362,1.0,516.0,516.0,122.11281817009058,0.5503875968992248,40.0,32.0,40.0,32.0,108.0,88.0,248.0,0.9457364341085271,516.0,516.0,0.0,0.0,0.15,20.281837160751564,519.9998034354388,519.9998034354388,119.99979456709228,0.5606773080099628,39.16413983664472,41.337868731745175,39.16413983664472,41.337868731745175,110.96460172531604,87.0273723405513,241.5058208011816,0.9581470986221894,519.9998262569229,519.9998262569229,4.38874840913428e-08,4.38874840913428e-08,0.0,0.0,0.0,516.0,516.0,122.11285201298557,248.0
4,0.2,378.27460083628097,277.8400171177909,894.1091174033434,264.7728246869362,1.0,516.0,516.0,122.11281817009058,0.5503875968992248,40.0,32.0,40.0,32.0,108.0,88.0,248.0,0.9457364341085271,516.0,516.0,0.0,0.0,0.2,20.37578288100209,519.9997950851166,519.9997950851166,119.99980215826538,0.5606773080110588,39.16413920787059,41.33786806778525,39.16413920787059,41.33786806778525,110.9645999437322,87.02737094277515,241.50581692295347,0.9581470986205292,519.9998262569229,519.9998262569229,5.99458014338694e-08,5.99458014338694e-08,0.0,0.0,0.0,516.0,516.0,122.11285067446745,248.0
5,0.25,378.2747764389982,277.8419647341976,894.1091408883568,264.76876875439825,1.0,516.0,516.0,122.11285201298557,0.5503875968992248,40.0,32.0,40.0,32.0,108.0,88.0,248.0,0.9457364341085271,516.0,516.0,0.0,0.0,0.25,20.46972860125261,519.9997863331986,519.9997863331987,119.99981011452384,0.5606773080122072,39.16413854885653,41.337867371893,39.16413854885653,41.337867371893,110.96459807646596,87.02736947777524,241.50581285820795,0.9581470986187888,519.9998262569229,519.9998262569229,7.67764183340347e-08,7.677641855607932e-08,0.0,0.0,0.0,516.0,516.0,122.11284933594933,248.0
6,0.3,378.2747764389982,277.8419647341976,894.1091408883568,264.76876875439825,1.0,516.0,516.0,122.11285201298557,0.5503875968992248,40.0,32.0,40.0,32.0,108.0,88.0,248.0,0.9457364341085271,516.0,516.0,0.0,0.0,0.3,20.563674321503132,519.9997771603714,519.9997771603714,119.99981845342572,0.5606773080134111,39.16413785814822,41.33786664253299,39.16413785814822,41.33786664253299,110.9645961193965,87.02736794231839,241.50580859797532,0.9581470986169648,519.9998262569229,519.9998262569229,9.441647674801601e-08,9.441647674801601e-08,0.0,0.0,0.0,516.0,516.0,122.11284933594933,248.0
7,0.35,378.2747764389982,277.8419647341976,894.1091408883568,264.76876875439825,1.0,516.0,516.0,122.11285201298557,0.5503875968992248,40.0,32.0,40.0,32.0,108.0,88.0,248.0,0.9457364341085271,516.0,516.0,0.0,0.0,0.35,20.657620041753653,519.9997675463917,519.9997675463917,119.99982719337363,0.560677308014673,39.16413713422139,41.33786587809536,39.16413713422139,41.33786587809536,110.964594068205,87.02736633301646,241.50580413285343,0.9581470986150528,519.9998262569229,519.9998262569229,1.129049054249265e-07,1.129049054249265e-07,0.0,0.0,0.0,516.0,516.0,122.11284933594933,248.0
8,0.4,378.27476149912917,277.8417694213589,894.1091379865364,264.7690484403308,1.0,516.0,516.0,122.11284933594933,0.5503875968992248,40.0,32.0,40.0,32.0,108.0,88.0,248.0,0.9457364341085271,516.0,516.0,0.0,0.0,0.4,20.751565762004176,519.9997574700433,519.9997574700433,119.99983635365516,0.5606773080159954,39.164136375478535,41.33786507689365,39.164136375478535,41.33786507689365,110.96459191836476,87.02736464631755,241.50579945298884,0.9581470986130493,519.9998262569229,519.9998262569229,1.322825050609211e-07,1.322825050609211e-07,0.0,0.0,0.0,516.0,516.0,122.11284933594933,248.0
9,0.45,378.27476149912917,277.8417694213589,894.1091379865364,264.7690484403308,1.0,516.0,516.0,122.11284933594933,0.5503875968992248,40.0,32.0,40.0,32.0,108.0,88.0,248.0,0.9457364341085271,516.0,516.0,0.0,0.0,0.45,20.845511482254697,519.9997469090895,519.9997469090895,119.99984595448548,0.5606773080173811,39.1641355802451,41.33786423715949,39.1641355802451,41.33786423715949,110.96458966513134,87.02736287849973,241.5057945480538,0.9581470986109496,519.9998262569229,519.9998262569229,1.5259203833828394e-07,1.5259203833828394e-07,0.0,0.0,0.0,516.0,516.0,122.11285201298557,248.0
