frame,time_sec,route_a_anchor_x,route_a_anchor_y,route_a_tip_x,route_a_tip_y,x_route_a_px,anchor_x_x,anchor_y_x,tip_x_x,tip_y_x,x_px,x_fit_px,kappa_fit_px_inv,quality,centerline_points,quadratic_rmse_px,circle_rmse_px,model_name,route_c_anchor_x,route_c_anchor_y,route_c_tip_x,route_c_tip_y,route_c_axis_theta_rad,x_route_c_px,kappa_route_c_px_inv,temperature_c,x_true_px,kappa_true_px_inv,anchor_x_y,anchor_y_y,tip_x_y,tip_y_y,x_recovery_true,kappa_recovery_true,x_route_a_recovery,x_fit_recovery,x_route_c_recovery,kappa_fit_recovery,kappa_route_c_recovery
0,0.0,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.004533481476253937,0.821297258487372,356,1.4109465069156475,0.21839861826810353,circle,585.6037961328077,31.973427070377255,310.6472131598578,248.94143861467364,2.473533992577515,350.2516817285059,0.0045361022496645306,20.0,349.7055109546654,0.0044999938992404,585.0,32.0,311.0665280615355,249.380765809218,0.0,0.0,0.0,0.0,0.0,0.0005845656373283563,3.665362716770142e-05
1,0.05,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.004535288731302207,0.8231992167252671,356,1.4198793892655879,0.21006825715277236,circle,585.6037961328095,31.973427070377255,310.64721315982825,248.94143861466944,2.47353399257758,350.25168172852796,0.0045361022496645306,20.09394572025052,349.70551755834936,0.0044999936058335,585.0,32.0,311.06653564489886,249.38078598893125,1.2506202840374332e-07,6.594234996042025e-08,0.0,0.0,0.0,0.00018215795074857732,3.665362716770142e-05
2,0.1,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.004535288731302207,0.8231992167252671,356,1.4198793892655879,0.21006825715277236,circle,585.6037961328122,31.973427070377255,310.64721315978596,248.9414386146634,2.473533992577673,350.25168172855956,0.0045361022496645306,20.187891440501044,349.7055244796266,0.0044999932983157,585.0,32.0,311.0665435929742,249.3808071391557,2.561387085522448e-07,1.35056093514828e-07,0.0,0.0,0.0,0.00018215795074857732,3.665362716770142e-05
3,0.15,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.004535288731302207,0.8231992167252671,356,1.4198793892655879,0.21006825715277236,circle,585.6037961328161,31.973427070377255,310.64721315972525,248.9414386146547,2.473533992577807,350.2516817286048,0.0045361022496645306,20.281837160751564,349.70553173377147,0.0044999929760084,585.0,32.0,311.06655192330123,249.38082930656608,3.935193092431911e-07,2.074937529368615e-07,0.0,0.0,0.0,0.00018215795074857732,3.665362716770142e-05
4,0.2,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.004535288731302207,0.8231992167252671,356,1.4198793892655879,0.21006825715277236,circle,585.6037961328217,31.973427070377255,310.64721315963834,248.94143861464227,2.473533992577998,350.2516817286698,0.0045361022496645306,20.37578288100209,349.70553933679236,0.0044999926382002,585.0,32.0,311.06656065426444,249.38085254008232,5.37507001366321e-07,2.8341518617709785e-07,0.0,0.0,0.0,0.00018215795074857732,3.665362716770142e-05
5,0.25,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.004535253706497947,0.8240217522036364,356,1.4222670400587936,0.20607347776494073,circle,585.6037961328298,31.973427070377255,310.6472131595137,248.94143861462436,2.473533992578273,350.25168172876283,0.0045361022496645306,20.46972860125261,349.7055473054678,0.0044999922841456,585.0,32.0,311.0665698051318,249.38087689097688,6.884195404128238e-07,3.6298793930927866e-07,0.0,0.0,0.0,0.00018995665656415468,3.665362716770142e-05
6,0.3,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.004535253706497947,0.8240217522036364,356,1.4222670400587936,0.20607347776494073,circle,585.6037961328412,31.973427070377255,310.647213159335,248.94143861459887,2.4735339925786666,350.2516817288963,0.0045361022496645306,20.563674321503132,349.70555565738334,0.0044999919130633,585.0,32.0,311.06657939609806,249.380902412988,8.465899651324349e-07,4.463876163259345e-07,0.0,0.0,0.0,0.00018995665656415468,3.665362716770142e-05
7,0.35,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.004535288731302207,0.8231992167252671,356,1.4198793892655879,0.21006825715277236,circle,585.6037961328576,31.973427070377255,310.6472131590787,248.94143861456237,2.4735339925792306,350.25168172908775,0.0045361022496645306,20.657620041753653,349.70556441097034,0.0044999915241345,585.0,32.0,311.0665894483292,249.3809291624385,1.012367332791983e-06,5.337982660884722e-07,0.0,0.0,0.0,0.00018215795074857732,3.665362716770142e-05
8,0.4,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.004535288731302207,0.8231992167252671,356,1.4198793892655879,0.21006825715277236,circle,585.6037961328811,31.973427070377255,310.64721315871174,248.94143861450993,2.473533992580039,350.25168172936185,0.0045361022496645306,20.751565762004176,349.7055735855458,0.0044999911165007,585.0,32.0,311.06659998400954,249.3809571983593,1.1861174727346616e-06,6.254127887709685e-07,0.0,0.0,0.0,0.00018215795074857732,3.665362716770142e-05
9,0.45,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.004535288731302207,0.8231992167252671,356,1.4198793892655879,0.21006825715277236,circle,585.6037961329149,31.973427070377255,310.6472131581857,248.94143861443473,2.4735339925811974,350.25168172975475,0.0045361022496645306,20.845511482254697,349.70558320135723,0.0044999906892625,585.0,32.0,311.0666110263895,249.38098658262183,1.3682238379020067e-06,7.214333625774203e-07,0.0,0.0,0.0,0.00018215795074857732,3.665362716770142e-05
10,0.5,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.004535288731302207,0.8231992167252671,356,1.4198793892655879,0.21006825715277236,circle,585.6037961329633,31.973427070377255,310.6472131574319,248.94143861432713,2.4735339925828574,350.25168173031784,0.0045361022496645306,20.93945720250522,349.7055932796241,0.0044999902414769,585.0,32.0,311.0666225998386,249.38101738007077,1.5590882863825123e-06,8.220718881982674e-07,0.0,0.0,0.0,0.00018215795074857732,3.665362716770142e-05
11,0.55,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.004535288731302207,0.8231992167252671,356,1.4198793892655879,0.21006825715277236,circle,585.6037961330327,31.973427070377255,310.64721315635154,248.94143861417277,2.473533992585237,350.2516817311248,0.0045361022496645306,21.03340292275574,349.7056038425879,0.0044999897721558,585.0,32.0,311.06663472989794,249.38104965867169,1.759132031972827e-06,9.275504572441748e-07,0.0,0.0,0.0,0.00018215795074857732,3.665362716770142e-05
12,0.6,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.004533481476253938,0.8217162249753167,356,1.4152177600829525,0.2183986182681047,circle,585.6037961331322,31.973427070377255,310.6472131548031,248.94143861395162,2.473533992588647,350.25168173228144,0.0045361022496645306,21.127348643006265,349.70561491355875,0.0044999892802635,585.0,32.0,311.0666474433369,249.3810834896568,1.9687965279951277e-06,1.0381018425127694e-06,0.0,0.0,0.0,0.0005845656373281631,3.665362716770142e-05
13,0.65,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.0045334814762539415,0.8223805261932656,356,1.4219866263689587,0.21839861826810453,circle,585.6037961332745,31.973427070377255,310.6472131525882,248.9414386136352,2.4735339925935254,350.2516817339359,0.0045361022496645306,21.221294363256785,349.70562651696844,0.0044999887647145,585.0,32.0,311.06666076821244,249.38111894768556,2.188544468454439e-06,1.1539700120376954e-06,0.0,0.0,0.0,0.0005845656373273906,3.665362716770142e-05
14,0.7,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.0045334814762539415,0.8223805261932656,356,1.4219866263689587,0.21839861826810453,circle,585.6037961334783,31.97342707037726,310.64721314941266,248.94143861318156,2.473533992600519,350.25168173630783,0.0045361022496645306,21.315240083507305,349.7056386784233,0.004499988224371,585.0,32.0,311.0666747339312,249.38115611100727,2.4188607924254895e-06,1.275410665750374e-06,0.0,0.0,0.0,0.0005845656373273906,3.665362716770142e-05
15,0.75,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.0045334814762539415,0.8223805261932656,356,1.4219866263689587,0.21839861826810453,circle,585.6037961337705,31.97342707037726,310.64721314486314,248.94143861253175,2.4735339926105384,350.25168173970616,0.0045361022496645306,21.40918580375783,349.7056514247613,0.0044999876580406,585.0,32.0,311.0666893713138,249.38119506163451,2.6602537616424733e-06,1.4026918015772586e-06,0.0,0.0,0.0,0.0005845656373273906,3.665362716770142e-05
16,0.8,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.0045334814762539415,0.8223805261932656,356,1.4219866263689587,0.21839861826810453,circle,585.6037961341891,31.97342707037726,310.64721313834474,248.94143861160074,2.473533992624894,350.25168174457514,0.0045361022496645306,21.50313152400835,349.70566478411143,0.0044999870644736,585.0,32.0,311.0667047126629,249.3812358855242,2.9132560908379543e-06,1.5360943059042231e-06,0.0,0.0,0.0,0.0005845656373273906,3.665362716770142e-05
17,0.85,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.0045334814762539415,0.8223805261932656,356,1.4219866263689587,0.21839861826810453,circle,585.6037961347888,31.97342707037726,310.6472131290056,248.941438610267,2.4735339926454616,350.2516817515512,0.0045361022496645306,21.597077244258873,349.70567878595494,0.0044999864423599,585.0,32.0,311.0667207918354,249.3812786727671,3.178426101765069e-06,1.675912574061264e-06,0.0,0.0,0.0,0.0005845656373273906,3.665362716770142e-05
18,0.9,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.0045334814762539415,0.8223805261932656,356,1.4219866263689587,0.21839861826810453,circle,585.6037961356482,31.97342707037726,310.6472131156248,248.94143860835584,2.4735339926749305,350.25168176154614,0.0045361022496645306,21.691022964509393,349.70569346119095,0.0044999857903268,585.0,32.0,311.06673764431605,249.38132351778629,3.456348968723349e-06,1.82245515907307e-06,0.0,0.0,0.0,0.0005845656373273906,3.665362716770142e-05
19,0.95,587.0,31.0,310.0,248.0,351.8778197045105,585.2547451660041,32.21678383797157,310.8090164499073,249.1767982683541,349.84583157748386,349.84583157748386,0.0045334814762539415,0.8223805261932656,356,1.4219866263689587,0.21839861826810453,circle,585.6037961368793,31.97342707037726,310.64721309645336,248.9414386056176,2.4735339927171522,350.2516817758665,0.0045361022496645306,21.784968684759917,349.7057088422048,0.0044999851069352,585.0,32.0,311.0667553072963,249.38137051954615,3.747638012527642e-06,1.9760454529640916e-06,0.0,0.0,0.0,0.0005845656373273906,3.665362716770142e-05
