frame,time_sec,route_a_anchor_x,route_a_anchor_y,route_a_tip_x,route_a_tip_y,x_route_a_px,anchor_x,anchor_y,tip_x,tip_y,x_px,x_fit_px,kappa_fit_px_inv,quality,centerline_points,quadratic_rmse_px,circle_rmse_px,model_name,route_c_anchor_x,route_c_anchor_y,route_c_tip_x,route_c_tip_y,route_c_axis_theta_rad,x_route_c_px,kappa_route_c_px_inv,x_route_a_smooth,x_fit_smooth,x_route_c_smooth,kappa_fit_smooth,kappa_route_c_smooth
0,0.0,569.0,0.0,261.0,377.0,486.8192683121735,574.8947368421052,1.0315789473684212,261.5769219158113,376.7280223097682,489.1992137211018,489.1992137211018,0.005775786971577789,0.17534723098664587,489,1.1429127082601285,0.9128370515173219,circle,573.5601668236941,0.7692707116982818,262.99354374050375,376.6792464840501,2.2612938463915393,487.60633430921155,0.0060566476007620175,486.8192683121735,489.5930543280278,487.60633430921155,0.006189059032411603,0.0060566476007620175
1,0.03333333333333333,569.0,0.0,261.0,377.0,486.8192683121735,574.8947368421052,1.0315789473684212,261.5769219158113,376.7280223097682,489.1992137211018,489.1992137211018,0.00575819968762397,0.19707275435782592,489,1.458055342696154,1.118884481762279,circle,573.5773271801746,0.7687262869198749,263.1079436822595,376.75901760956975,2.261035196171587,487.60633430921155,0.0060566476007620175,486.8192683121735,489.8067793302398,487.60633430921155,0.006186037411901755,0.0060566476007620175
2,0.06666666666666667,569.0,0.0,261.0,377.0,486.8192683121735,574.8947368421052,1.0315789473684212,262.14706320480286,377.43697291222736,489.3793293258158,489.3793293258158,0.006224971130138855,0.18473735695157983,488,1.3597957736776396,1.3554522171663317,quadratic,573.59733572924,0.7680915011621605,263.27001675478687,376.8756457414281,2.260657414151307,487.60633430921155,0.0060566476007620175,487.2794764900662,489.83825440034985,487.60633430921155,0.006177300397238031,0.0060566476007620175
3,0.1,569.0,0.0,261.0,377.0,486.8192683121735,574.8421052631579,1.0315789473684212,262.0769219158113,377.9780223097682,489.8067793302398,489.8067793302398,0.006246057614291931,0.194789685253641,491,1.3422094450629456,1.3540366811705582,quadratic,573.6172042674515,0.7673903290940494,263.4196082131056,376.9819416964906,2.260312554103052,487.60633430921155,0.0060566476007620175,487.7396846679589,489.8697294704599,487.60633430921155,0.006168563382574306,0.0060566476007620175
4,0.13333333333333333,570.0,0.0,262.0,379.0,488.3697369821353,574.8823529411765,1.0258823529411765,262.3269219158113,378.2280223097682,489.8697294704599,489.8697294704599,0.006209554682248901,0.19483332204899823,491,1.329769773392885,1.4724808653009904,quadratic,573.6588910466946,0.7663459484209557,263.612629828706,377.1056252738899,2.2599103640452913,487.60633430921155,0.0060566476007620175,488.0547108250471,489.99701685863636,487.60633430921155,0.0061666455013851505,0.0060566476007620175
5,0.16666666666666666,569.0,0.0,262.0,379.0,487.7396846679589,575.25,1.0,262.3269219158113,378.2280223097682,490.12430424681276,490.12430424681276,0.006168563382574306,0.1966012660912556,490,1.4891385599568996,1.59591796152107,quadratic,573.6861828006918,0.7643975003275001,263.769150473005,377.21010451750965,2.259567028587287,487.60633430921155,0.0060566476007620175,487.8893317136582,490.12430424681276,487.60633430921155,0.006168563382574306,0.0060566476007620175
6,0.2,570.0,0.0,262.0,379.0,488.3697369821353,575.7368421052631,1.0315789473684212,262.5769219158113,378.7280223097682,490.6360554847863,490.6360554847863,0.006186037411901755,0.20796986593192915,489,1.4417037165089956,1.635981101523602,quadratic,573.7477193855759,0.7651033151494454,263.9609856093113,377.31804359672566,2.259220949479206,487.60633430921155,0.0060566476007620175,487.8893317136582,490.4818231072364,487.60633430921155,0.006182276964723103,0.0060566476007620175
7,0.23333333333333334,570.0,0.0,262.0,379.0,488.3697369821353,575.7368421052631,1.0315789473684212,262.5769219158113,378.7280223097682,490.6360554847863,490.6360554847863,0.006130296437843783,0.20216102402128727,490,1.3666629395187209,1.552852042561043,quadratic,573.7652990813424,0.764321617368923,264.12264361141416,377.435747626826,2.258838385369421,487.60633430921155,0.0060566476007620175,487.8893317136582,490.4844773131369,487.60633430921155,0.006182276964723103,0.0060566476007620175
8,0.26666666666666666,570.0,0.0,263.0,380.0,488.5171440185083,575.7368421052631,1.0315789473684212,263.3269219158113,379.2280223097682,490.5430745660859,490.5430745660859,0.006164727620195996,0.1849837722958312,489,1.3411787344456139,1.3423400297020696,quadratic,573.7742018948898,0.7634061211527299,264.327628529094,377.5959358882016,2.258317931300924,487.60633430921155,0.0060566476007620175,487.8893317136582,490.5430745660859,487.60633430921155,0.006168563382574306,0.0060566476007620175
9,0.3,570.0,0.0,263.0,380.0,488.5171440185083,575.7368421052631,1.0315789473684212,263.3269219158113,379.2280223097682,490.5430745660859,490.5430745660859,0.006159416591313249,0.19320105859315012,489,1.3646071120165013,1.5115892268587359,quadratic,573.7768207834586,0.762375316315486,264.48123058990745,377.7188385123847,2.257917333330842,487.60633430921155,0.0060566476007620175,487.8893317136582,490.5430745660859,487.60633430921155,0.006164727620195996,0.0060566476007620175
10,0.3333333333333333,569.0,0.0,263.0,380.0,487.8893317136582,575.25,1.0,263.87353160240144,379.9684864561137,490.4818231072364,490.4818231072364,0.006190650898281415,0.19403086901909106,489,1.3712279212484093,1.3123432393391765,quadratic,573.7368020551613,0.7598298873375159,264.64700198543335,377.8850514667516,2.257371530076714,487.60633430921155,0.0060566476007620175,487.8893317136582,490.5453644475323,487.60633430921155,0.006159416591313249,0.0060566476007620175
