frame,time_sec,temperature_c,x_true_px,kappa_true_px_inv,anchor_x,anchor_y,tip_x,tip_y,x_recovery_true,kappa_recovery_true
0,0.0,20.0,349.7055109546654,0.0044999938992404285,585.0,32.0,311.0665280615355,249.380765809218,0.0,0.0
1,0.05,20.09394572025052,349.7055175583493,0.004499993605833583,585.0,32.0,311.0665356448989,249.38078598893125,1.2506202732723009e-07,6.594234996042025e-08
2,0.1,20.187891440501044,349.70552447962655,0.004499993298315796,585.0,32.0,311.06654359297426,249.3808071391557,2.561387074757316e-07,1.35056093514828e-07
3,0.15,20.281837160751564,349.70553173377147,0.00449999297600843,585.0,32.0,311.06655192330123,249.38082930656606,3.935193092431911e-07,2.074937529368615e-07
4,0.2,20.37578288100209,349.70553933679236,0.004499992638200204,585.0,32.0,311.06656065426444,249.38085254008232,5.37507001366321e-07,2.8341518617709785e-07
5,0.25,20.46972860125261,349.7055473054678,0.004499992284145632,585.0,32.0,311.0665698051318,249.38087689097688,6.884195404128238e-07,3.6298793930927866e-07
6,0.3,20.563674321503132,349.70555565738334,0.004499991913063373,585.0,32.0,311.06657939609806,249.38090241298798,8.465899651324349e-07,4.463876163259345e-07
7,0.35,20.657620041753653,349.70556441097034,0.004499991524134513,585.0,32.0,311.0665894483292,249.38092916243846,1.012367332791983e-06,5.337982660884722e-07
8,0.4,20.751565762004176,349.7055735855458,0.004499991116500752,585.0,32.0,311.06659998400954,249.3809571983593,1.1861174727346616e-06,6.254127887709685e-07
9,0.45,20.845511482254697,349.70558320135723,0.00449999068926251,585.0,32.0,311.0666110263895,249.38098658262183,1.3682238379020067e-06,7.214333625774203e-07
10,0.5,20.93945720250522,349.7055932796241,0.004499990241476946,585.0,32.0,311.0666225998386,249.38101738007077,1.5590882863825123e-06,8.220718881982674e-07
11,0.55,21.03340292275574,349.7056038425879,0.004499989772155876,585.0,32.0,311.06663472989794,249.38104965867163,1.759132031972827e-06,9.275504572441749e-07
12,0.6,21.127348643006265,349.7056149135587,0.00449998928026359,585.0,32.0,311.06664744333693,249.3810834896568,1.9687965269186144e-06,1.0381018425127694e-06
13,0.65,21.221294363256785,349.70562651696844,0.004499988764714567,585.0,32.0,311.06666076821244,249.38111894768556,2.188544468454439e-06,1.1539700120376954e-06
14,0.7,21.315240083507305,349.7056386784233,0.004499988224371082,585.0,32.0,311.0666747339312,249.38115611100727,2.4188607924254895e-06,1.2754106657503741e-06
15,0.75,21.40918580375783,349.7056514247613,0.004499987658040695,585.0,32.0,311.0666893713138,249.38119506163451,2.6602537616424733e-06,1.4026918015772586e-06
16,0.8,21.50313152400835,349.70566478411143,0.004499987064473617,585.0,32.0,311.0667047126629,249.3812358855242,2.9132560908379543e-06,1.5360943059042233e-06
17,0.85,21.597077244258873,349.70567878595494,0.004499986442359952,585.0,32.0,311.0667207918354,249.38127867276714,3.178426101765069e-06,1.675912574061264e-06
18,0.9,21.691022964509393,349.70569346119095,0.00449998579032681,585.0,32.0,311.06673764431605,249.38132351778629,3.456348968723349e-06,1.8224551590730701e-06
19,0.95,21.784968684759917,349.7057088422048,0.004499985106935276,585.0,32.0,311.0667553072963,249.38137051954618,3.747638012527642e-06,1.9760454529640916e-06
20,1.0,21.878914405010438,349.70572496293937,0.004499984390677234,585.0,32.0,311.0667738197562,249.38141978177063,4.052936051532238e-06,2.13702240081303e-06
21,1.05,21.97286012526096,349.7057418589695,0.004499983639972037,585.0,32.0,311.06679322255076,249.3814714131713,4.3729168086336764e-06,2.305741248141573e-06
22,1.1,22.06680584551148,349.70575956758137,0.004499982853163024,585.0,32.0,311.0668135584999,249.38152552768912,4.7082864194658066e-06,2.482574324951293e-06
23,1.15,22.160751565762006,349.705778127854,0.004499982028513861,585.0,32.0,311.0668348724828,249.3815822447436,5.059784969660704e-06,2.667911867383408e-06
24,1.2,22.254697286012526,349.70579758074587,0.004499981164204709,585.0,32.0,311.0668572115369,249.38164168949754,5.428188140837414e-06,2.8621628789507586e-06
25,1.25,22.348643006263046,349.7058179691853,0.004499980258328209,585.0,32.0,311.06688062496227,249.3817039931335,5.814308919028485e-06,3.065756033096454e-06
26,1.3,22.44258872651357,349.70583933816465,0.004499979308885276,585.0,32.0,311.0669051644303,249.3817692931424,6.218999378462406e-06,3.2791406186386656e-06
27,1.35,22.536534446764094,349.70586173484065,0.004499978313780685,585.0,32.0,311.0669308840964,249.38183773362732,6.643152584839028e-06,3.5027875312205745e-06
28,1.4,22.630480167014614,349.70588520863754,0.0044999772708184445,585.0,32.0,311.06695784072167,249.3819094656219,7.087704544895053e-06,3.737190313884458e-06
29,1.45,22.724425887265134,349.70590981135626,0.004499976177696959,585.0,32.0,311.0669860937965,249.3819846474223,7.553636276539007e-06,3.982866243455992e-06
30,1.5,22.818371607515658,349.70593559728894,0.004499975032003941,585.0,32.0,311.0670157056733,249.38206344493875,8.041975975872393e-06,4.240357474629919e-06
31,1.55,22.91231732776618,349.7059626233391,0.0044999738312110965,585.0,32.0,311.067046741702,249.38214603205876,8.553801294015221e-06,4.510232234349492e-06
32,1.6,23.006263048016702,349.705990949146,0.004499972572668542,585.0,32.0,311.0670792703767,249.3822325910333,9.090241693593488e-06,4.79308607642146e-06
33,1.65,23.100208768267223,349.70602063721776,0.004499971253598954,585.0,32.0,311.0671133634852,249.3823233128777,9.652480966703668e-06,5.089543196171685e-06
34,1.7,23.194154488517746,349.70605175306804,0.0044999698710914485,585.0,32.0,311.0671490962681,249.38241839779337,1.0241759825003576e-05,5.400257806505924e-06
35,1.75,23.288100208768267,349.70608436536116,0.004499968422095151,585.0,32.0,311.0671865475847,249.3825180556094,1.0859378649127199e-05,5.725915582783407e-06
36,1.8,23.38204592901879,349.7061185460634,0.0044999669034124735,585.0,32.0,311.06722580008704,249.38262250624555,1.1506700352209931e-05,6.067235173969015e-06
37,1.85,23.47599164926931,349.706154370602,0.004499965311692045,585.0,32.0,311.06726694040253,249.38273198019812,1.2185153391972629e-05,6.424969790785601e-06
38,1.9,23.569937369519835,349.7061919180317,0.004499963643421331,585.0,32.0,311.0673100593246,249.38284671904782,1.289623492490543e-05,6.7999088656031546e-06
39,1.95,23.663883089770355,349.7062312712086,0.004499961894918877,585.0,32.0,311.0673552520135,249.38296697599247,1.3641514097168731e-05,7.19287979459141e-06
40,2.0,23.757828810020875,349.706272516973,0.004499960062326182,585.0,32.0,311.0674026182069,249.38309301640695,1.4422635510965851e-05,7.604749764865018e-06
41,2.05,23.8517745302714,349.7063157463416,0.004499958141599195,585.0,32.0,311.06745226243913,249.38322511842742,1.5241322859928256e-05,8.036427665451659e-06
42,2.1,23.94572025052192,349.706361054708,0.004499956128499383,585.0,32.0,311.0675042942717,249.38336357356553,1.6099382729207315e-05,8.488866094364127e-06
